Date,Description,Comments,Check Number,Amount,Balance
06/19/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,104.04,0
06/20/18,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-209.2,0
06/22/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1701.45,0
06/26/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-23.22,0
06/29/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,215.45,0
06/29/18,NITTO TIRE NORTH : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE NORTH Entry Class Code: PPD,,,123.45,0
07/02/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1686.38,0
07/03/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-49.47,0
07/05/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,13.82,0
07/06/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2103.84,0
07/06/18,RX437DLXGLGAZ6Y : TRANSFER  ID: 6192912998CO: RX437DLXGLGAZ6Y Entry Class Code: WEB,,,81.88,0
07/06/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,6.48,0
07/20/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1620.33,0
07/20/18,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-199.08,0
07/23/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,6.36,0
07/27/18,NITTO TIRE NORTH : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE NORTH Entry Class Code: PPD,,,202.95,0
07/27/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-18.39,0
08/01/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1738.18,0
08/03/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1958.24,0
08/03/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,5.47,0
08/06/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-66.31,0
08/10/18,NITTO TIRE NORTH : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE NORTH Entry Class Code: PPD,,,364.82,0
08/14/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,2.59,0
08/17/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1828.68,0
08/22/18,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-217.61,0
08/27/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-18.67,0
08/31/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2174.06,0
08/31/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1918.08,0
09/04/18,7P5E53OCQ8G3D12 : TRANSFER  ID: 6192912998CO: 7P5E53OCQ8G3D12 Entry Class Code: WEB,,,5.08,0
09/04/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,5.39,0
09/04/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-207.81,0
09/04/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1670.03,0
09/07/18,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-31.13,0
09/10/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,2.49,0
09/14/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1917.66,0
09/14/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1372.04,0
09/25/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-20.2,0
09/28/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1935.13,0
09/28/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1875.39,0
10/01/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1845.81,0
10/02/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-144.8,0
10/03/18,6J2YH4EU1ZXSS4Z : TRANSFER  ID: 6192912998CO: 6J2YH4EU1ZXSS4Z Entry Class Code: WEB,,,19.02,0
10/12/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2265.6,0
10/15/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1817.49,0
10/24/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,25.07,0
10/26/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1867.51,0
10/26/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-23.27,0
10/29/18,F31R9Z0OJMEMV6A : TRANSFER  ID: 6192912998CO: F31R9Z0OJMEMV6A Entry Class Code: WEB,,,41.61,0
10/29/18,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-37.1,0
10/31/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1556.63,0
11/01/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1705.99,0
11/02/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-51.72,0
11/09/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2202.2,0
11/09/18,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-11.82,0
11/13/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,7.22,0
11/13/18,7P76Y36TWN0EWRB : TRANSFER  ID: 6192912998CO: 7P76Y36TWN0EWRB Entry Class Code: WEB,,,2.56,0
11/15/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1515.43,0
11/19/18,X8EZ84QCMT2CFJE : TRANSFER  ID: 6192912998CO: X8EZ84QCMT2CFJE Entry Class Code: WEB,,,40.4,0
11/21/18,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-10.91,0
11/23/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1810.07,0
11/27/18,Check Deposit : Check #0000000145 0001456906000000 ,,145,-78.27,0
11/30/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1568.98,0
11/30/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-23.24,0
12/03/18,020ZS5R1K0K0HB7 : TRANSFER  ID: 6192912998CO: 020ZS5R1K0K0HB7 Entry Class Code: WEB,,,9.6,0
12/03/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-54.71,0
12/03/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1849.21,0
12/07/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2788.08,0
12/11/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1407.8,0
12/14/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1749.56,0
12/20/18,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-269.62,0
12/21/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2243.93,0
12/24/18,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-23.48,0
12/26/18,OGEQPHERW4WZB6O : TRANSFER  ID: 6192912998CO: OGEQPHERW4WZB6O Entry Class Code: WEB,,,106.71,0
12/31/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,92.97,0
01/02/19,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-45.74,0
01/02/19,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-88.06,0
01/02/19,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1906.94,0
01/03/19,Y07L0RIMUYJ0V50 : TRANSFER  ID: 6192912998CO: Y07L0RIMUYJ0V50 Entry Class Code: WEB,,,9.95,0
01/04/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2051.84,0
01/10/19,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,14.74,0
01/10/19,I8R2LZKPWUC57I1 : TRANSFER  ID: 6192912998CO: I8R2LZKPWUC57I1 Entry Class Code: WEB,,,10.44,0
01/15/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1421.85,0
01/18/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1893,0
01/23/19,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-235.16,0
01/31/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1518.98,0
01/31/19,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-137.8,0
02/01/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2138.1,0
02/01/19,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1930.05,0
02/04/19,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-9.65,0
02/04/19,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-48.61,0
02/08/19,FRANCHISE TAX BD : CASTTAXRFD  ID: 9282532045CO: FRANCHISE TAX BD Entry Class Code: PPD,,,1504.71,0
02/11/19,2U7JK1XUOFSPK87 : TRANSFER  ID: 6192912998CO: 2U7JK1XUOFSPK87 Entry Class Code: WEB,,,9.31,0
02/12/19,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,4.23,0
02/15/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1722.97,0
02/15/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1589.28,0
02/20/19,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-244.03,0
02/24/19,ApplePay : APPLE PAY - SENT MONEY 1INFINITELOOP CA  02/23/19%% Card 30 #5794,,,-7.53,0
02/24/19,ApplePay : APPLE PAY - SENT MONEY 1INFINITELOOP CA  02/23/19%% Card 30 #5794,,,-22.86,0
02/25/19,Timothy  Zalk : TRANSFER  ID: 6192912998CO: Timothy  Zalk Entry Class Code: WEB,,,18.5,0
02/25/19,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-270.63,0
02/28/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1463.56,0
03/01/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2031.86,0
03/01/19,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-180.05,0
03/01/19,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1783.71,0
03/08/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2667.75,0
03/08/19,Timothy  Zalk : TRANSFER  ID: 6192912998CO: Timothy  Zalk Entry Class Code: WEB,,,9.07,0
03/15/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,1976.6,0
03/15/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1599.84,0
03/18/19,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-93.17,0
03/20/19,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-241.62,0
03/26/19,Timothy  Zalk : TRANSFER  ID: 6192912998CO: Timothy  Zalk Entry Class Code: WEB,,,23.56,0
03/26/19,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,0.94,0
03/29/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2538.4,0
03/29/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1637.8,0
04/01/19,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-243.68,0
04/01/19,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1888.92,0
04/02/19,Timothy  Zalk : TRANSFER  ID: 6192912998CO: Timothy  Zalk Entry Class Code: WEB,,,7.34,0
04/02/19,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-35.14,0
04/04/19,Acorns Investing : Transfer  ID: 9000142693DATA: 855-739-2859  CO: Acorns Investing Entry Class Code: PPD,,,0.4,0
04/12/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2306.99,0
04/15/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1367.63,0
04/15/19,IRS : USATAXPYMT  ID: XXXXXX2000  CO: IRS Entry Class Code: PPD,,,-787.54,0
04/16/19,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-11.49,0
04/17/19,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-105.84,0
04/23/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-6.68,0
04/23/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-6.3,0
04/23/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-7.13,0
04/23/19,Check Deposit : Check #0000000146 0001467053000000 ,,146,-16.46,0
04/26/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2182.25,0
04/26/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-6.65,0
04/26/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-6.77,0
04/30/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,1858.04,0
05/01/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-7.61,0
05/01/19,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1827.26,0
05/02/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-6.62,0
05/03/19,PAYPAL : TRANSFER  ID: PAYPALSD11  CO: PAYPALDATA: TRANSFER Entry Class Code: PPD,,,148.6,0
05/09/19,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-61.53,0
05/10/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2410.28,0
05/15/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,256.46,0
05/16/19,PAYPAL : INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL Entry Class Code: WEB,,,-14.7,0
05/16/19,Check Deposit : Check #0000000147 0001477076000000 ,,147,-25.95,0
05/20/19,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-66.44,0
05/24/19,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2114.79,0
05/30/19,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-19.48,0
05/31/19,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,128.35,0
